Player,Player-additional,Ht.,Wt.
Norihiro Nakamura,nakamno01,5-10,205.0
Cholly Naranjo,naranch01,5-11,165.0
Omar Narváez,narvaom01,5-11,220.0
Brian Navarreto,navarbr01,6-2,233.0
Dioner Navarro,navardi01,5-9,215.0
Edgar Navarro,navared01,6-1,260.0
Jaime Navarro,navarja01,6-4,210.0
Julio Navarro,navarju01,6-0,175.0
Millito Navarro,navarmi01,5-6,170.0
Oswaldo Navarro,navaros01,6-0,200.0
Raúl Navarro,navarra01,6-2,180.0
Rey Navarro,navarre01,5-10,185.0
Tito Navarro,navarti01,5-10,165.0
Yamaico Navarro,navarya01,5-11,215.0
Bo Naylor,naylobo01,6-0,205.0
Josh Naylor,naylojo01,5-11,250.0
Tom Needham,needhto01,5-10,180.0
Héctor Neris,nerishe01,6-2,227.0
Ángel Nesbitt,nesbian01,6-1,240.0
Dovydas Neverauskas,neverdo01,6-3,225.0
Gift Ngoepe,ngoepgi01,5-8,200.0
Juan Nicasio,nicasju01,6-4,250.0
Al Nichols,nichoal01,5-11,180.0
Kevin Nicholson,nichode01,5-10,190.0
Sam Nicholl,nichosa01,5-10,178.0
Mike Nickeas,nickemi01,6-0,210.0
Hugh Nicol,nicolhu01,5-4,145.0
Tomás Nido,nidoto01,5-11,211.0
Adrián Nieto,nietoad01,5-10,205.0
Fernando Nieve,nievefe01,6-0,220.0
José Nieves,nievejo01,6-1,180.0
Juan Nieves,nieveju01,6-3,175.0
Melvin Nieves,nieveme01,6-2,185.0
Wil Nieves,nievewi01,5-11,190.0
Fu-Te Ni,nifu01,6-0,170.0
Dave Nilsson,nilssda01,6-3,185.0
Tsuyoshi Nishioka,nishits01,6-1,175.0
Ramón Nivar,nivarra01,5-10,185.0
Ray Noble,noblera01,5-11,210.0
Junior Noboa,noboaju01,5-10,155.0
Héctor Noesí,noesihe01,6-4,220.0
The Only Nolan,nolanth01,5-8,171.0
Hideo Nomo,nomohi01,6-2,210.0
Takahito Nomura,nomurta01,5-7,175.0
Jordan Norberto,norbejo01,6-0,195.0
Nelson Norman,normane01,6-2,160.0
Iván Nova,novaiv01,6-5,250.0
Roberto Novoa,novoaro01,6-5,200.0
Abraham Núñez,nunezab01,5-11,200.0
Abraham Núñez,nunezab02,6-3,210.0
Darién Núñez,nunezda01,6-2,205.0
Dedniel Núñez,nunezde01,6-2,180.0
Ed Núñez,nunezed01,6-5,235.0
Eduardo Núñez,nunezed02,6-0,195.0
Franklin Núñez,nunezfr01,6-0,175.0
Jhonny Núñez,nunezjh01,6-3,215.0
José Núñez,nunezjo01,6-3,175.0
José Núñez,nunezjo02,6-2,173.0
Juan Carlos Oviedo,nunezle01,6-2,195.0
Renato Núñez,nunezre01,6-1,220.0
Vladimir Núñez,nunezvl01,6-5,235.0
John O'Brien,o'brijo02,5-9,175.0
Dan O'Connor,o'conda01,6-2,185.0
John O'Connell,o'conjo01,5-9,170.0
Johnny O'Connor,o'conjo02,5-9,
Paddy O'Connor,o'conpa02,5-8,168.0
Greg O'Halloran,o'halgr01,6-2,205.0
Bill O'Hara,o'harbi01,5-10,165.0
John O'Neill,o'neibi01,5-11,175.0
Fred O'Neill,o'neifr01,5-7,142.0
Harry O'Neill,o'neiha01,6-0,180.0
Jack O'Neill,o'neija01,5-10,165.0
Mike O'Neill,o'neimi01,5-11,185.0
Tip O'Neill,o'neiti01,6-1,167.0
Frank O'Rourke,o'roufr01,5-10,165.0
Sherman Obando,obandsh01,6-4,215.0
Iván Ochoa,ochoaiv01,5-9,160.0
Rougned Odor,odorro01,5-11,200.0
Bryan Oelkers,oelkebr01,6-3,192.0
Trent Oeltjen,oeltjtr01,6-1,205.0
José Offerman,offerjo01,6-0,150.0
Alexi Ogando,ogandal01,6-4,200.0
Cristofer Ogando,ogandcr01,6-3,195.0
Nefi Ogando,ogandne01,6-0,230.0
Ben Oglivie,oglivbe01,6-2,160.0
Tomo Ohka,ohkato01,6-1,205.0
Will Ohman,ohmanwi01,6-2,225.0
Seunghwan Oh,ohse01,5-10,205.0
Shohei Ohtani,ohtansh01,6-4,210.0
Miguel Ojeda,ojedami01,6-1,230.0
Hideki Okajima,okajihi01,6-1,195.0
Edward Olivares,olivaed02,6-2,190.0
José Oliva,olivajo01,6-3,215.0
Omar Olivares,olivaom01,6-1,185.0
Tony Oliva,olivato01,6-1,175.0
Francisco Oliveras,olivefr01,5-10,170.0
Héctor Olivera,olivehe01,6-2,230.0
Lester Oliveros,olivele01,6-0,235.0
Chi-Chi Olivo,olivoch01,6-2,215.0
Diomedes Olivo,olivodi01,6-1,195.0
Miguel Olivo,olivomi01,6-0,230.0
Ray Olmedo,olmedra01,5-11,165.0
Luis Olmo,olmolu01,5-11,185.0
Jack O'Loughlin,olougja01,6-5,223.0
Alejandro Oms,omsal01,5-6,155.0
Jorge Oña,onajo01,6-0,235.0
Tyler O'Neill,oneilty01,5-11,200.0
José Oquendo,oquenjo01,5-10,160.0
Luis Ordaz,ordazlu01,5-11,170.0
Tony Ordeñana,ordento01,5-9,158.0
Magglio Ordóñez,ordonma01,6-0,215.0
Rey Ordóñez,ordonre01,5-9,160.0
Paulo Orlando,orlanpa01,6-2,215.0
Eddie Oropesa,oropeed01,6-3,215.0
Pete Orr,orrpe01,6-1,195.0
Jorge Orta,ortajo01,5-10,170.0
Anthony Ortega,ortegan01,6-0,185.0
Bill Ortega,ortegbi01,6-4,205.0
José Ortega,ortegjo01,5-11,190.0
Oliver Ortega,ortegol01,6-0,185.0
Rafael Ortega,ortegra01,5-11,200.0
Oliverio Ortiz,ortizba01,6-0,190.0
David Ortiz,ortizda01,6-3,230.0
Danny Ortiz,ortizda02,5-11,190.0
Héctor Ortiz,ortizhe01,6-0,205.0
José Ortiz,ortizjo01,5-9,155.0
José Ortiz,ortizjo04,5-9,177.0
Joe Ortiz,ortizjo05,5-7,175.0
Junior Ortiz,ortizju01,5-11,174.0
Luis Ortiz,ortizlu01,6-0,190.0
Luis Ortiz,ortizlu03,6-2,235.0
Ramón Ortiz,ortizra02,6-0,175.0
Rafaelito Ortiz,ortizra03,5-9,144.0
Roberto Ortiz,ortizro01,6-4,200.0
Fred Osborne,osborfr01,,
Franquelis Osoria,osorifr01,6-0,210.0
Brian Ostrosser,ostrobr01,6-0,175.0
Antonio Osuna,osunaan01,5-11,160.0
José Osuna,osunajo01,6-2,235.0
Roberto Osuna,osunaro01,6-2,217.0
Willis Otáñez,otanewi01,6-1,200.0
Reggie Otero,oterore01,6-0,165.0
Ricky Otero,oterori01,5-7,150.0
Akinori Otsuka,otsukak01,6-0,200.0
Johan Oviedo,oviedjo01,6-5,245.0
Luis Oviedo,oviedlu01,6-5,250.0
Yip Owens,owensfr01,6-0,170.0
Henry Oxley,oxleyhe01,5-11,163.0
Chris Oxspring,oxsprch01,6-1,195.0
Marcell Ozuna,ozunama01,6-1,225.0
Pablo Ozuna,ozunapa01,5-11,200.0
Álex Pacheco,pacheal01,6-3,200.0
Cristian Pache,pachecr01,6-2,215.0
Jorge Padilla,padiljo01,6-2,205.0
Juan Padilla,padilju01,6-0,210.0
Vicente Padilla,padilvi01,6-0,230.0
Ángel Pagán,paganan01,6-2,200.0
Dave Pagan,paganda01,6-2,175.0
José Pagán,paganjo01,5-9,160.0
Andy Pages,pagesan01,6-0,212.0
Pedro Pagés,pagespe01,5-9,180.0
Pedro Pagés,pagespe02,6-1,245.0
Lance Painter,paintla01,6-1,195.0
Jermaine Palacios,palacje01,6-0,145.0
Vicente Palacios,palacvi01,6-3,165.0
Daniel Palencia,palenda01,5-11,160.0
Alcibíades Palma,palmaal01,,
Billy Palmer,palme01,,
Emilio Palmero,palmeem01,5-11,157.0
Rafael Palmeiro,palmera01,6-0,180.0
José Paniagua,paniajo01,6-2,185.0
Al Pardo,pardoal01,6-2,187.0
Eduardo Paredes,pareded01,6-1,230.0
Edward Paredes,pareded02,6-0,180.0
Enoli Paredes,pareden01,5-11,171.0
Isaac Paredes,paredis01,5-11,213.0
Jimmy Paredes,paredji01,6-3,230.0
Johnny Paredes,paredjo01,5-11,165.0
ByungHo Park,parkby01,6-1,220.0
Chan Ho Park,parkch01,6-2,210.0
Hoy Park,parkho01,6-0,200.0
Agustín Parpetti,parpeag01,6-0,
Gerardo Parra,parrage01,5-11,209.0
José Parra,parrajo01,5-11,160.0
Manuel Parrado,parrama02,6-1,
Clyde Parris,parricl01,5-8,170.0
Sam Parrilla,parrisa01,5-11,185.0
Carlos Pascual,pascuca01,5-6,165.0
Camilo Pascual,pascuca02,5-11,170.0
Pedro Pastor,pastope01,5-8,
Luis Patiño,patinlu01,6-1,192.0
Carlos Paula,paulaca01,6-3,195.0
David Paulino,paulida01,6-6,240.0
Felipe Paulino,paulife01,6-3,270.0
Ronny Paulino,pauliro01,6-3,250.0
Dave Pavlas,pavlada01,6-7,180.0
James Paxton,paxtoja01,6-4,212.0
Joel Payamps,payamjo01,6-2,220.0
Al Pedrique,pedrial01,6-0,155.0
Chick Pedroes,pedroch01,,
Eustaquio Pedroso,pedroeu01,5-11,200.0
Rafael Pedroso,pedrora01,5-5,
Carlos Peguero,pegueca01,6-5,260.0
Elvis Peguero,pegueel01,6-5,241.0
Francisco Peguero,peguefr01,6-0,190.0
Jailen Peguero,pegueja01,6-0,185.0
Julio Peguero,pegueju01,6-0,160.0
Liover Peguero,pegueli01,6-0,220.0
Rudy Pemberton,pemberu01,6-1,185.0
Alejandro Peña,penaal01,6-1,200.0
Ángel Peña,penaan01,5-10,225.0
Ariel Peña,penaar01,6-3,245.0
Bert Peña,penabe01,5-11,165.0
Brayan Peña,penabr01,5-9,240.0
Carlos Peña,penaca01,6-2,225.0
Elvis Peña,penael01,5-11,164.0
Félix Peña,penafe01,6-2,220.0
Francisco Peña,penafr01,6-2,230.0
Gerónimo Peña,penage01,6-1,170.0
Hipólito Peña,penahi01,6-3,165.0
Jesús Peña,penaje01,6-0,170.0
Jeremy Peña,penaje02,6-0,202.0
José Peña,penajo01,6-2,190.0
Juan Peña,penaju01,6-5,210.0
Orlando Peña,penaor01,5-11,154.0
Ramón Peña,penara01,5-10,155.0
Ramiro Peña,penara02,5-11,200.0
Roberto Peña,penaro01,5-8,170.0
Tony Peña,penato01,6-0,175.0
Tony Peña,penato02,6-2,180.0
Tony Peña,penato03,6-2,240.0
Wily Mo Peña,penawi01,6-3,260.0
Henry Peploski,peplohe01,5-9,155.0
David Peralta,peralda01,6-1,210.0
Freddy Peralta,peralfr01,6-0,202.0
Jhonny Peralta,peraljh01,6-2,225.0
Joel Peralta,peraljo01,5-10,210.0
Wandy Peralta,peralwa01,6-0,227.0
Wily Peralta,peralwi01,6-1,261.0
José Peraza,perazjo01,6-0,210.0
Luis Peraza,perazlu01,5-11,185.0
Oswaldo Peraza,perazos01,6-4,172.0
Oswald Peraza,perazos02,6-0,200.0
Angel Perdomo,perdoan01,6-8,265.0
Geraldo Perdomo,perdoge01,6-2,203.0
Luis Perdomo,perdolu01,6-0,180.0
Luis Perdomo,perdolu02,6-2,218.0
Jhonny Pereda,peredjh01,6-1,202.0
Everson Pereira,pereiev01,5-11,191.0
José Pereira,pereijo01,6-0,160.0
Antonio Pérez,perezan01,5-11,170.0
Audry Pérez,perezau01,5-10,220.0
Beltrán Pérez,perezbe01,6-2,180.0
Carlos Pérez,perezca01,6-3,195.0
Carlos Pérez,perezca02,5-11,210.0
Carlos Pérez,perezca03,5-11,210.0
Cionel Pérez,perezci01,6-0,175.0
Eddie Pérez,perezed02,6-1,175.0
Eury Pérez,perezeu01,6-0,190.0
Eury Pérez,perezeu02,6-8,220.0
Francisco Pérez,perezfr01,6-2,227.0
Hernán Pérez,perezhe01,6-0,213.0
Hector Perez,perezhe02,6-3,223.0
Javier Pérez,perezja01,5-11,162.0
José Pérez,perezjo01,5-8,155.0
Juan Pérez,perezju01,6-0,190.0
Juan Pérez,perezju02,5-11,185.0
Luis Pérez,perezlu01,6-0,215.0
Martín Pérez,perezma02,6-0,200.0
Mélido Pérez,perezme01,6-4,180.0
Mike Pérez,perezmi01,6-0,185.0
Miguel Pérez,perezmi02,6-3,235.0
Michael Pérez,perezmi03,5-10,195.0
Neifi Pérez,perezne01,6-0,175.0
Odalis Pérez,perezod01,6-0,225.0
Óliver Pérez,perezol01,6-3,225.0
Pascual Pérez,perezpa01,6-2,162.0
Rafael Pérez,perezra01,6-3,195.0
Robert Pérez,perezro01,6-3,205.0
Roberto Pérez,perezro02,5-11,220.0
Santiago Pérez,perezsa01,6-2,185.0
Salvador Perez,perezsa02,6-3,255.0
Timo Pérez,perezti01,5-9,180.0
Tony Pérez,perezto01,6-2,175.0
Tony Perezchica,perezto02,5-11,165.0
Tomás Pérez,perezto03,5-11,185.0
Wenceel Pérez,perezwe01,5-10,203.0
Williams Pérez,perezwi01,6-0,240.0
Yefri Pérez,perezye01,5-11,170.0
Yorkis Pérez,perezyo01,6-0,180.0
Roberto Petagine,petagro01,6-1,172.0
Gregorio Petit,petitgr01,5-10,200.0
Yusmeiro Petit,petityu01,6-1,252.0
Bill Pfann,pfannbi01,6-0,205.0
Tommy Phelps,phelpto01,6-3,190.0
Adolfo Phillips,phillad01,6-1,175.0
Bill Phillips,phillbi01,6-0,202.0
Denis Phipps,phippde01,6-2,220.0
Hipólito Pichardo,pichahi01,6-1,160.0
Ron Piché,pichero01,5-11,165.0
Calvin Pickering,pickeca01,6-5,283.0
Félix Pié,piefe01,6-2,190.0
Marino Pieretti,pierema01,5-7,153.0
Luis Pillot,pillolu01,5-9,150.0
Stolmy Pimentel,pimenst01,6-3,230.0
Horacio Piña,pinaho01,6-2,177.0
Manny Piña,pinama01,6-0,222.0
Israel Pineda,pinedis01,5-10,226.0
Luis Pineda,pinedlu01,6-1,160.0
Michael Pineda,pinedmi01,6-7,280.0
Joel Piñeiro,pineijo01,6-0,200.0
Ed Pinnance,pinnaed01,6-1,180.0
Yohan Pino,pinoyo01,6-2,190.0
Josmil Pinto,pintojo01,5-11,225.0
Renyel Pinto,pintore01,6-4,280.0
René Pinto,pintore02,5-10,195.0
Ricardo Pinto,pintori01,6-0,195.0
José Pirela,pireljo01,6-0,220.0
James Pirie,pirieji01,5-8,169.0
Nick Pivetta,pivetni01,6-5,210.0
Juan Pizarro,pizarju01,5-11,170.0
Gordie Pladson,pladsgo01,6-4,210.0
Elmo Plaskett,plaskel01,5-10,195.0
Gregory Polanco,polangr01,6-5,240.0
Jorge Polanco,polanjo01,5-11,208.0
Plácido Polanco,polanpl01,5-9,190.0
Rafael Polanco,polanra01,,
Gus Polidor,polidgu01,6-0,170.0
Lou Polli,pollilo01,5-10,165.0
Luis Polonia,polonlu01,5-8,155.0
Dalton Pompey,pompeda01,6-2,200.0
Carlos Ponce,ponceca01,5-10,170.0
Simon Pond,pondsi01,6-1,190.0
Sidney Ponson,ponsosi01,6-1,220.0
Zach Pop,popza01,6-4,220.0
Bartolo Portuondo,portuba01,5-7,
Jorge Posada,posadjo01,6-2,215.0
Leo Posada,posadle01,5-11,175.0
Vic Power,powervi01,6-0,186.0
Arquimedez Pozo,pozoar01,5-10,160.0
Yohel Pozo,pozoyo01,5-11,201.0
Martín Prado,pradoma01,6-0,215.0
Bobby Prescott,prescbo01,5-11,180.0
Álex Prieto,prietal01,5-10,200.0
Ariel Prieto,prietar01,6-3,220.0
Jurickson Profar,profaju01,6-0,184.0
Luke Prokopec,prokolu01,5-11,166.0
César Puello,puellce01,6-2,220.0
Migel Puente,puentmi01,6-0,160.0
Terry Puhl,puhlte01,6-2,195.0
Yasiel Puig,puigya01,6-2,240.0
Albert Pujols,pujolal01,6-3,235.0
Luis Pujols,pujollu01,6-2,175.0
Alfonso Pulido,pulidal01,5-11,170.0
Carlos Pulido,pulidca01,6-0,194.0
Cal Quantrill,quantca01,6-3,195.0
Paul Quantrill,quantpa01,6-1,175.0
Juniel Querecuto,quereju01,5-9,198.0
Rubén Quevedo,queveru01,6-1,190.0
Johan Quezada,quezajo01,6-9,255.0
José Quijada,quijajo01,5-11,215.0
Jack Quinn,quinnja01,6-0,196.0
Joe Quinn,quinnjo02,5-7,158.0
Luis Quiñones,quinolu01,5-11,165.0
Rey Quiñones,quinore01,5-11,160.0
Tomás Quiñones,quinoto01,6-2,200.0
Busta Quintana,quintbu01,,
Carlos Quintana,quintca01,6-0,175.0
Humberto Quintero,quinthu01,5-10,215.0
Jose Quintana,quintjo01,6-1,220.0
Luis Quintana,quintlu01,6-2,175.0
Rafael Quirico,quirira01,6-3,170.0
Esteban Quiroz,quiroes01,5-5,199.0
Guillermo Quiroz,quirogu01,6-1,215.0
Ryan Radmanovich,radmary01,6-2,200.0
Ceddanne Rafaela,rafaece01,5-9,165.0
Álex Ramírez,ramiral02,5-11,180.0
Alexei Ramírez,ramiral03,6-2,180.0
Aramis Ramírez,ramirar01,6-1,205.0
Carlos Ramírez,ramirca01,6-5,205.0
Edwar Ramírez,ramired01,6-3,165.0
Elizardo Ramírez,ramirel01,6-0,180.0
Elvin Ramírez,ramirel02,6-3,208.0
Emmanuel Ramírez,ramirem01,6-2,190.0
Erasmo Ramírez,ramirer02,6-0,220.0
Hanley Ramírez,ramirha01,6-2,235.0
Harold Ramírez,ramirha02,5-10,232.0
Héctor Ramírez,ramirhe01,6-3,218.0
JC Ramírez,ramirjc01,6-4,220.0
José Ramírez,ramirjo01,5-9,190.0
José Ramírez,ramirjo02,6-1,220.0
Julio Ramírez,ramirju02,5-11,195.0
Mario Ramírez,ramirma01,5-9,155.0
Manny Ramírez,ramirma02,6-0,225.0
Max Ramírez,ramirma03,5-11,220.0
Milt Ramírez,ramirmi01,5-9,150.0
Orlando Ramírez,ramiror01,5-10,175.0
Rafael Ramírez,ramirra01,6-0,170.0
Ramón Ramírez,ramirra02,5-11,200.0
Ramón Ramírez,ramirra03,6-0,190.0
Ramiro Ramírez,ramirra04,5-6,168.0
Roberto Ramírez,ramirro01,6-0,195.0
Santiago Ramírez,ramirsa01,5-11,200.0
Wilkin Ramírez,ramirwi01,6-2,230.0
Yefry Ramírez,ramirye01,6-2,215.0
Yohan Ramírez,ramiryo01,6-4,212.0
Bobby Ramos,ramosbo01,5-11,190.0
Bryan Ramos,ramosbr01,6-2,225.0
Chucho Ramos,ramosch01,5-10,167.0
Cheo Ramos,ramosch02,,
Domingo Ramos,ramosdo01,5-10,154.0
Edgar Ramos,ramosed01,6-4,190.0
Edubray Ramos,ramosed02,6-0,232.0
Henry Ramos,ramoshe01,6-0,215.0
Heliot Ramos,ramoshe02,5-11,188.0
Pedro Ramos,ramospe01,6-0,175.0
Wilson Ramos,ramoswi01,6-1,241.0
Fernando Ramsey,ramsefe01,6-1,175.0
Newt Randall,randane01,5-10,181.0
Steve Randolph,randost01,6-3,180.0
Rangel Ravelo,ravelra01,6-0,235.0
Claude Raymond,raymocl01,5-10,175.0
Al Reach,reachal01,5-6,155.0
Raudy Read,readra01,6-0,235.0
Johnny Reder,rederjo01,6-0,184.0
Chris Reed,reedch01,6-3,235.0
Rob Refsnyder,refsnro01,6-0,203.0
Pedro Regalado,regalpe01,,
Billy Reid,reidbi01,6-0,170.0
Sean Reid-Foley,reidfse01,6-3,230.0
Win Remmerswaal,remmewi01,6-2,160.0
Luis Rengifo,rengilu01,5-10,195.0
Édgar Rentería,renteed01,6-1,200.0
Larry Ressler,resslla01,,
Alberto Reyes,reyesal01,6-1,230.0
Argenis Reyes,reyesar01,5-10,180.0
Dennys Reyes,reyesde01,6-3,250.0
Denyi Reyes,reyesde02,6-4,255.0
Franmil Reyes,reyesfr01,6-5,265.0
Gerardo Reyes,reyesge01,5-11,195.0
Gil Reyes,reyesgi01,6-2,200.0
Jesús Reyes,reyesje01,6-2,180.0
José Reyes,reyesjo01,6-0,195.0
José Reyes,reyesjo02,5-11,180.0
Nap Reyes,reyesna01,6-0,195.0
Pablo Reyes,reyespa01,5-8,175.0
René Reyes,reyesre01,5-11,175.0
Víctor Reyes,reyesvi01,6-5,194.0
Armando Reynoso,reynoar02,6-0,186.0
Antoan Richardson,richaan01,5-8,165.0
Danny Richar,richada02,6-1,205.0
Vidal Richardson,richavi01,5-5,165.0
Scott Richmond,richmsc01,6-5,220.0
Reggie Richter,richtre01,6-2,180.0
André Rienzo,rienzan01,6-2,195.0
Manuel Rigal,rigalma01,5-6,
José Rijo,rijojo01,6-1,200.0
Jim Riley,rileyji02,5-10,185.0
Juan Rincón,rincoju01,5-11,210.0
Ricardo Rincón,rincori01,5-10,190.0
Armando Ríos,riosar01,5-9,180.0
Danny Rios,riosda01,6-2,190.0
Edwin Ríos,riosed01,6-3,220.0
Juan Ríos,riosju01,6-3,185.0
Matías Ríos,riosma01,5-5,
Yacksel Ríos,riosya01,6-3,215.0
Leo Rivas,rivasle01,5-8,150.0
Luis Rivas,rivaslu01,5-10,175.0
Webster Rivas,rivaswe01,6-1,219.0
Ben Rivera,riverbe01,6-6,210.0
Bombo Rivera,riverbo01,5-10,187.0
Carlos Rivera,riverca01,5-11,230.0
Carlos Rivero,riverca02,6-3,230.0
Charlie Rivera,riverch01,5-11,175.0
Emmanuel Rivera,riverem01,6-2,225.0
Felipe Vázquez,riverfe01,6-2,225.0
Germán Rivera,riverge01,6-2,195.0
Juan Rivera,riverju01,6-2,220.0
Luis Rivera,riverlu01,5-9,165.0
Luis Rivera,riverlu02,6-3,163.0
Mariano Rivera,riverma01,6-2,195.0
Mike Rivera,rivermi02,6-1,220.0
René Rivera,riverre01,5-10,215.0
Roberto Rivera,riverro01,6-0,175.0
Rubén Rivera,riverru01,6-3,195.0
Saúl Rivera,riversa01,5-10,180.0
Sebastián Rivero,riverse01,6-0,210.0
Yadiel Rivera,riverya01,6-3,190.0
Sendy Rleal,rlealse01,6-1,190.0
Skel Roach,roachsk01,6-2,
Dave Roberts,roberda03,6-0,172.0
Dave Roberts,roberda07,5-10,172.0
Luis Robert Jr.,roberlu01,6-2,230.0
Sherry Robertson,robersh01,6-0,180.0
Willis Roberts,roberwi01,6-3,175.0
Chris Robinson,robinch02,6-0,220.0
Humberto Robinson,robinhu01,6-1,155.0
Hansel Robles,robleha01,6-0,220.0
Mauricio Robles,roblema01,5-10,215.0
Óscar Robles,robleos01,5-10,190.0
Rafael Robles,roblera01,6-0,170.0
Sergio Robles,roblese01,6-2,190.0
Víctor Robles,roblevi01,6-0,193.0
Jacob Robson,robsoja01,5-10,182.0
Brayan Rocchio,rocchbr01,5-10,170.0
Armando Roche,rochear01,6-0,190.0
André Rodgers,rodgean01,6-3,200.0
Fernando Rodney,rodnefe01,5-11,240.0
Aneury Rodríguez,rodrian01,6-4,250.0
Antonio Rodríguez,rodrian02,,
Aurelio Rodríguez,rodriau01,5-10,180.0
Bernardo Rodríguez,rodribe01,5-5,
Bienvenido Rodríguez,rodribi01,5-8,147.0
Carlos Rodríguez,rodrica01,5-9,160.0
Conrado Rodríguez,rodrico01,,
Eduardo Rodríguez,rodried01,6-0,180.0
Edwin Rodríguez,rodried02,5-11,175.0
Eddy Rodríguez,rodried03,6-1,194.0
Eddy Rodríguez,rodried04,6-0,220.0
Eduardo Rodríguez,rodried05,6-2,231.0
Ellie Rodríguez,rodriel01,5-11,185.0
Elvin Rodríguez,rodriel02,6-3,160.0
Endy Rodríguez,rodrien01,6-0,200.0
Félix Rodríguez,rodrife01,6-1,170.0
Freddy Rodríguez,rodrifr01,6-0,180.0
Francisco Rodríguez,rodrifr03,6-0,195.0
Francisco Rodríguez,rodrifr04,6-1,220.0
Guillermo Rodríguez,rodrigu01,5-11,230.0
Guilder Rodríguez,rodrigu02,6-1,190.0
Héctor Rodríguez,rodrihe01,5-8,165.0
Henry Rodríguez,rodrihe02,6-1,180.0
Henry Rodríguez,rodrihe03,6-1,225.0
Henry Rodríguez,rodrihe04,5-8,200.0
Iván Rodríguez,rodriiv01,5-9,205.0
Jefry Rodríguez,rodrije01,6-6,230.0
José Rodríguez,rodrijo01,5-8,150.0
José Rodríguez,rodrijo04,6-1,205.0
Joely Rodríguez,rodrijo06,6-1,223.0
José Rodríguez,rodrijo07,6-2,210.0
José Agustín Rodríguez,rodrijo08,5-8,
José Rodríguez,rodrijo09,5-11,200.0
Johnathan Rodríguez,rodrijo10,6-0,224.0
Julio Rodríguez,rodriju01,6-3,228.0
Liu Rodríguez,rodrili01,5-9,195.0
Luis Rodríguez,rodrilu01,5-9,190.0
Manuel Rodríguez,rodrima01,5-11,210.0
Nerio Rodríguez,rodrine01,6-1,220.0
Nivaldo Rodríguez,rodrini01,6-1,214.0
Rafael Rodríguez,rodrira01,6-1,195.0
Randy Rodríguez,rodrira02,6-0,166.0
Ricardo Rodríguez,rodriri03,6-3,195.0
Ricardo Rodríguez,rodriri04,6-2,220.0
Richard Rodríguez,rodriri05,6-4,220.0
Roberto Rodríguez,rodriro01,6-3,185.0
Rosario Rodríguez,rodriro02,6-0,185.0
Ronny Rodríguez,rodriro03,6-0,180.0
Rubén Rodríguez,rodriru01,6-0,170.0
Tony Rodríguez,rodrito01,5-11,165.0
Vicente Rodríguez,rodrivi02,5-11,
Wandy Rodríguez,rodriwa01,5-11,195.0
Wilfredo Rodríguez,rodriwi01,6-3,180.0
Wilking Rodríguez,rodriwi02,6-1,225.0
Yariel Rodríguez,rodriya01,6-0,165.0
Yerry Rodríguez,rodriye01,6-2,198.0
Yorman Rodríguez,rodriyo01,6-2,210.0
Eddie Rogers,rogered01,6-0,190.0
Esmil Rogers,rogeres01,6-3,200.0
Les Rohr,rohrle01,6-5,205.0
Cookie Rojas,rojasco01,5-10,160.0
Johan Rojas,rojasjo03,5-11,165.0
Mel Rojas,rojasme01,5-11,175.0
Minnie Rojas,rojasmi01,6-1,170.0
Miguel Rojas,rojasmi02,6-0,188.0
Ramón Rojas,rojasra01,5-8,
Julio Rojo,rojoju01,5-8,
Jamie Romak,romakja01,6-3,226.0
José Román,romanjo02,6-0,175.0
Jordan Romano,romanjo03,6-5,210.0
Álex Romero,romeral01,6-0,198.0
Davis Romero,romerda01,5-10,185.0
Ed Romero,romered01,5-11,160.0
Enny Romero,romeren01,6-3,232.0
Fernando Romero,romerfe01,6-0,215.0
J.C. Romero,romerj.01,5-11,205.0
Jhon Romero,romerjh01,5-10,195.0
Niuman Romero,romerni01,6-1,215.0
Ramón Romero,romerra01,6-4,170.0
Enrique Romo,romoen01,5-11,185.0
Vicente Romo,romovi01,6-1,180.0
Angel Rondón,rondoan01,6-1,205.0
Bruce Rondón,rondobr01,6-3,275.0
Héctor Rondón,rondohe01,6-3,225.0
Jorge Rondon,rondojo01,6-1,215.0
José Rondón,rondojo02,6-1,215.0
Rolando Roomes,roomero01,6-3,180.0
Frank Rooney,roonefr01,5-11,170.0
Jorge Roque,roquejo01,5-10,158.0
José Roque,roquejo02,,
Rafael Roque,roquera01,6-4,186.0
Adonis Rosa,rosaad01,6-1,170.0
Carlos Rosa,rosaca01,6-1,195.0
Luis Rosado,rosadlu01,6-0,180.0
Jorge De La Rosa,rosajo01,6-1,215.0
Alberto Rosario,rosaral01,6-0,175.0
Amed Rosario,rosaram01,6-2,190.0
Eddie Rosario,rosared01,6-1,180.0
Eguy Rosario,rosareg01,5-7,150.0
Francisco Rosario,rosarfr01,6-1,225.0
Jimmy Rosario,rosarji01,5-10,155.0
Melvin Rosario,rosarme01,6-0,191.0
Randy Rosario,rosarra01,6-1,210.0
Rodrigo Rosario,rosarro01,6-2,160.0
Santiago Rosario,rosarsa01,5-11,165.0
Sandy Rosario,rosarsa02,6-1,205.0
Víctor Rosario,rosarvi01,5-11,155.0
Wilin Rosario,rosarwi01,5-11,225.0
Basilio Rosell,roselba01,,
Dave Rosello,roselda01,5-11,160.0
Goody Rosen,rosengo01,5-9,160.0
Ernie Ross,rosser01,5-8,150.0
Ramón Rosso,rossora01,6-4,240.0
